reviewer_name,date,product_tag,star_rating,review_text
Alice,2026-01-10,white,5,wooow..I like the product, excellent quality!
Bob,2026-01-11,black,1,This is terrible. I hate it.
Carol,2026-01-12,white,4,Good value for money.
Dave,2026-01-13,blue,,good
Eve,2026-01-14,white,5,Love it! Amazing performance.
Fahad,2026-01-15,black,2,Not what I expected, very disappointed.
Hassan,2026-01-17,white,5,Asante sana, napenda product hii.
Ivy,2026-01-18,black,4,Very satisfied.
Juma,2026-01-19,blue,1,Bad
Kali,2026-01-20,green,4,Pretty good overall
Linda,2026-01-21,white,5,Best purchase ever!
Nuru,2026-01-22,red,2,Waste of money
Mary,2026-01-23,blue,3,It is okay nothing special
Peter,2026-01-24,white,5,Highly recommend this product!
Qasim,2026-01-25,black,1,Absolutely useless
